"state_abbrev","prop_women","state_name"
"AK",35,"Alaska"
"AL",17.8571428571429,"Alabama"
"AR",22.2222222222222,"Arkansas"
"AZ",48.8888888888889,"Arizona"
"CA",41.6666666666667,"California"
"CO",49,"Colorado"
"CT",38.1720430107527,"Connecticut"
"DE",35.4838709677419,"Delaware"
"FL",40.625,"Florida"
"GA",33.8983050847458,"Georgia"
"HI",36.8421052631579,"Hawaii"
"IA",28.6666666666667,"Iowa"
"ID",30.4761904761905,"Idaho"
"IL",41.2429378531073,"Illinois"
"IN",26,"Indiana"
"KS",30.3030303030303,"Kansas"
"KY",29.7101449275362,"Kentucky"
"LA",19.4444444444444,"Louisiana"
"MA",30.1507537688442,"Massachusetts"
"MD",43.6170212765958,"Maryland"
"ME",45.6989247311828,"Maine"
"MI",39.8648648648649,"Michigan"
"MN",37.3134328358209,"Minnesota"
"MO",28.9340101522843,"Missouri"
"MS",14.9425287356322,"Mississippi"
"MT",31.3333333333333,"Montana"
"NC",29.4117647058824,"North Carolina"
"ND",22.6950354609929,"North Dakota"
"NE",34.6938775510204,"Nebraska"
"NH",37.5,"New Hampshire"
"NJ",35.8333333333333,"New Jersey"
"NM",44.6428571428571,"New Mexico"
"NV",60.3174603174603,"Nevada"
"NY",34.2723004694836,"New York"
"OH",28.7878787878788,"Ohio"
"OK",19.5945945945946,"Oklahoma"
"OR",43.3333333333333,"Oregon"
"PA",32.1428571428571,"Pennsylvania"
"RI",45.1327433628319,"Rhode Island"
"SC",14.1176470588235,"South Carolina"
"SD",27.6190476190476,"South Dakota"
"TN",14.3939393939394,"Tennessee"
"TX",29.8342541436464,"Texas"
"UT",24.0384615384615,"Utah"
"VA",32.8571428571429,"Virginia"
"VT",43.8888888888889,"Vermont"
"WA",45.578231292517,"Washington"
"WI",30.3030303030303,"Wisconsin"
"WV",11.1940298507463,"West Virginia"
"WY",21.505376344086,"Wyoming"
